time,open,high,low,close,volume
2025-11-03 01:00:00,3985.26,3998.38,3983.62,3996.38,2959
2025-11-03 01:15:00,3996.1,3998.93,3988.27,3994.63,2186
2025-11-03 01:30:00,3994.02,3995.9,3978.27,3979.2,3119
2025-11-03 01:45:00,3979.32,3985.21,3977.93,3980.06,2414
2025-11-03 02:00:00,3979.69,3987.87,3966.45,3968.29,2699
2025-11-03 02:15:00,3968.32,3973.19,3962.49,3970.72,3684
2025-11-03 02:30:00,3970.71,3977.67,3963.41,3972.64,3154
2025-11-03 02:45:00,3972.55,3976.74,3967.97,3970.79,3585
2025-11-03 03:00:00,3970.7,3988.96,3965.41,3986.44,5852
2025-11-03 03:15:00,3986.49,3999.52,3986.44,3998.38,4859
2025-11-03 03:30:00,3998.86,4001.82,3990.32,3992.14,4691
2025-11-03 03:45:00,3992.15,4000.23,3990.31,3996.02,3797
2025-11-03 04:00:00,3995.9,3998.9,3990.34,3995.05,3595
2025-11-03 04:15:00,3995.06,4006.54,3994.91,3995.58,3822
2025-11-03 04:30:00,3995.59,4006.31,3995.05,4001.6,3955
2025-11-03 04:45:00,4001.73,4006.24,3997.67,4004.22,3818
2025-11-03 05:00:00,4004.25,4011.45,4002.42,4007.9,4344
2025-11-03 05:15:00,4007.94,4010.45,4005.4,4005.94,3625
2025-11-03 05:30:00,4005.95,4013.15,4005.47,4010.8,2764
2025-11-03 05:45:00,4010.81,4015.26,4010.81,4011.15,2208
2025-11-03 06:00:00,4011.16,4014.35,4006.71,4009.45,3161
2025-11-03 06:15:00,4009.38,4009.86,4001.73,4005.46,3216
2025-11-03 06:30:00,4005.44,4007.92,4002.57,4006.91,2581
2025-11-03 06:45:00,4006.89,4007.56,4002.61,4003.7,2174
2025-11-03 07:00:00,4003.72,4010.08,3997.76,4007.01,3295
2025-11-03 07:15:00,4007.13,4012.67,4005.0,4011.76,2548
2025-11-03 07:30:00,4011.83,4018.28,4011.81,4014.77,3655
2025-11-03 07:45:00,4014.8,4016.83,4011.28,4013.97,2615
2025-11-03 08:00:00,4014.0,4016.92,4009.89,4014.55,3447
2025-11-03 08:15:00,4014.41,4018.41,4013.34,4016.5,3214
2025-11-03 08:30:00,4016.51,4017.89,4013.32,4015.55,2635
2025-11-03 08:45:00,4015.53,4018.74,4013.86,4017.58,2711
2025-11-03 09:00:00,4017.57,4023.58,4014.92,4015.12,3771
2025-11-03 09:15:00,4015.22,4020.48,4013.52,4019.09,2859
2025-11-03 09:30:00,4018.95,4023.19,4015.8,4022.06,2850
2025-11-03 09:45:00,4022.18,4025.89,4020.5,4025.23,3502
2025-11-03 10:00:00,4025.41,4028.05,4020.76,4021.67,3662
2025-11-03 10:15:00,4021.68,4023.6,4011.12,4014.39,3734
2025-11-03 10:30:00,4014.37,4017.6,4012.18,4016.76,3751
2025-11-03 10:45:00,4016.77,4020.61,4013.17,4019.63,3696
2025-11-03 11:00:00,4019.77,4026.0,4016.68,4021.6,3642
2025-11-03 11:15:00,4021.64,4022.09,4004.9,4007.08,4347
2025-11-03 11:30:00,4007.07,4008.01,3996.45,3997.21,4423
2025-11-03 11:45:00,3997.14,4005.3,3993.12,4000.49,4244
2025-11-03 12:00:00,4000.53,4004.78,3994.41,3997.55,3775
2025-11-03 12:15:00,3997.28,4000.56,3995.89,3997.76,2985
2025-11-03 12:30:00,3997.75,4001.23,3994.62,3998.0,3223
2025-11-03 12:45:00,3997.97,3999.43,3994.59,3998.59,2941
2025-11-03 13:00:00,3998.71,4002.29,3994.47,4000.49,3328
2025-11-03 13:15:00,4000.5,4006.97,3998.84,4006.32,3596
2025-11-03 13:30:00,4006.55,4007.07,4003.13,4005.31,3137
2025-11-03 13:45:00,4005.3,4008.72,4004.57,4007.59,2879
2025-11-03 14:00:00,4007.61,4008.7,4004.83,4007.14,3166
2025-11-03 14:15:00,4007.1,4007.77,4001.92,4005.26,2515
2025-11-03 14:30:00,4005.29,4010.98,4003.63,4008.43,3086
2025-11-03 14:45:00,4008.37,4013.49,4007.89,4013.36,3113
2025-11-03 15:00:00,4013.39,4018.38,4011.91,4015.57,4778
2025-11-03 15:15:00,4015.53,4019.63,4013.92,4014.32,4924
2025-11-03 15:30:00,4014.33,4020.42,4010.82,4017.24,4411
2025-11-03 15:45:00,4017.23,4018.18,4015.12,4016.07,4148
2025-11-03 16:00:00,4016.09,4020.91,4012.68,4016.26,4705
2025-11-03 16:15:00,4016.19,4020.46,4009.29,4010.2,4402
2025-11-03 16:30:00,4010.18,4013.52,4001.65,4012.31,6088
2025-11-03 16:45:00,4012.28,4026.02,4012.26,4022.77,5548
2025-11-03 17:00:00,4022.72,4030.56,4022.72,4026.56,6198
2025-11-03 17:15:00,4026.46,4028.85,4008.56,4011.54,5871
2025-11-03 17:30:00,4011.41,4022.42,4005.44,4021.35,6179
2025-11-03 17:45:00,4021.33,4023.59,4003.55,4008.63,5581
2025-11-03 18:00:00,4008.38,4013.43,4001.81,4004.86,5145
2025-11-03 18:15:00,4004.83,4005.31,3995.35,3998.06,5197
2025-11-03 18:30:00,3998.09,4004.54,3996.03,4003.64,4720
2025-11-03 18:45:00,4003.58,4009.72,4001.9,4008.3,4204
2025-11-03 19:00:00,4008.33,4009.82,4003.53,4008.32,3575
2025-11-03 19:15:00,4008.36,4012.09,4006.63,4006.84,3958
2025-11-03 19:30:00,4006.83,4007.56,4004.35,4005.75,3213
2025-11-03 19:45:00,4005.77,4007.64,4005.13,4006.06,2615
2025-11-03 20:00:00,4006.07,4006.84,4001.67,4003.01,2918
2025-11-03 20:15:00,4003.04,4003.92,3999.38,4001.46,3483
2025-11-03 20:30:00,4001.54,4009.69,4001.25,4008.48,2990
2025-11-03 20:45:00,4008.64,4008.66,4003.63,4006.47,2705
2025-11-03 21:00:00,4006.42,4008.13,3995.28,4003.41,3788
2025-11-03 21:15:00,4003.42,4005.95,4001.72,4004.03,3766
2025-11-03 21:30:00,4004.02,4005.1,4000.46,4000.51,3149
2025-11-03 21:45:00,4000.49,4007.7,3999.61,4004.77,3539
2025-11-03 22:00:00,4004.71,4012.2,4004.7,4010.23,2924
2025-11-03 22:15:00,4010.33,4014.89,4009.49,4011.45,3440
2025-11-03 22:30:00,4011.4,4012.08,4007.09,4009.15,2452
2025-11-03 22:45:00,4009.22,4012.14,4007.92,4010.22,2490
2025-11-03 23:00:00,4010.18,4010.18,4004.42,4004.8,1265
2025-11-03 23:15:00,4005.02,4005.79,4001.09,4001.9,1210
2025-11-03 23:30:00,4001.91,4002.91,4000.23,4001.23,970
2025-11-03 23:45:00,4001.24,4002.28,3999.9,4001.58,763
2025-11-04 01:00:00,4002.4,4005.72,3982.77,3988.42,2125
2025-11-04 01:15:00,3988.4,3997.36,3988.04,3995.92,2047
2025-11-04 01:30:00,3995.77,3999.67,3994.56,3997.78,2025
2025-11-04 01:45:00,3997.8,3999.35,3992.84,3997.23,1861
2025-11-04 02:00:00,3997.42,3998.64,3990.36,3994.72,3424
2025-11-04 02:15:00,3994.63,3999.12,3992.26,3993.05,2413
2025-11-04 02:30:00,3993.02,3993.94,3978.39,3980.16,4022
2025-11-04 02:45:00,3980.18,3989.24,3979.89,3986.41,4346
